strategy_uid,market,F1_factor,CAGR,max_drawdown,calmar,selects_tsmc
TW::MOM_qb2of3__ROIC_qb2of3__C11_EPS_DYN_qmax8__v1,TW,MOM,0.2639951387708918,-0.3781391017016042,0.6981429256665838,True
TW::EV_S_qb0of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2639415093830766,-0.6243204439960612,0.4227660841821508,False
TW::P_IC_qb0of3__ROIC_qb2of3__C6_ROE_DYN_ytdavg_gt_lyytdavg__v0,TW,P_IC,0.2634549036539342,-0.4405478846412701,0.5980164990883128,False
TW::P_IC_qb0of3__ROE_qb2of3__C5_ROE_DYN_yoy__v0,TW,P_IC,0.2634178112354544,-0.4547939533560399,0.5792025362070616,False
TW::EV_S_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,TW,EV_S,0.2632939142196084,-0.5055124189609719,0.5208455902246312,False
TW::PB_qb0of3__EV_S_qb0of3__C4_ROE_DYN_qmax8__v0,TW,PB,0.2630508950233545,-0.4948591153698261,0.5315672417729783,False
TW::MOM_qb2of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,TW,MOM,0.2629454204569033,-0.710720952747999,0.3699699853229684,False
TW::EV_S_qb0of3__REVENUE_qb0of3__C9_EPS_DYN_riseq2__v0,TW,EV_S,0.2623066512925962,-0.3373877268043055,0.7774635247616507,False
TW::P_IC_qb0of3__FCF_OI_qb1of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.261457386112113,-0.5682778680294036,0.46008722285588777,False
TW::P_IC_qb0of3__OCF_E_qb2of3__C4_ROE_DYN_qmax8__v0,TW,P_IC,0.2614498094273114,-0.4243907622754472,0.6160591432893151,False
TW::MOM_qb2of3__ACCRUAL_qb0of3__C14_EPS_DYN_ytdavg_gt_lyavg__v1,TW,MOM,0.261034946292672,-0.5424693525857505,0.48119759217440594,False
TW::EV_S_qb0of3__ACCRUAL_qb0of3__C3_ROE_DYN_qmax4__v0,TW,EV_S,0.2609757653771842,-0.3874304527087691,0.6736067429716458,False
TW::EV_S_qb0of3__OCF_E_qb1of3__C11_EPS_DYN_qmax8__v0,TW,EV_S,0.2606454294011948,-0.5387752739701328,0.4837739257790137,False
TW::PB_qb0of3__REVENUE_qb0of3__C11_EPS_DYN_qmax8__v0,TW,PB,0.2604372576046703,-0.51141935609578,0.5092440372082727,False
TW::P_IC_qb0of3__ROE_qb2of3__C12_EPS_DYN_yoy__v0,TW,P_IC,0.2602266916282512,-0.4698240821928267,0.5538811259177816,False
TW::EV_S_qb1of3__NETDEBT_EBITDA_qb2of3__C4_ROE_DYN_qmax8__v0,TW,EV_S,0.2600736457337051,-0.5984980547818557,0.4345438446387238,False
TW::PS_qb0of3__EPS_qb1of3__C11_EPS_DYN_qmax8__v0,TW,PS,0.259593492726927,-0.516641508150665,0.5024634850888198,False
