tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_draws,n_members_mean,n_backfilled_mean,enb_computed,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,G,fixed,0.01,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,67,30,67.0,0.0,True,0.3407017159754659,0.0076499228836811,-0.1876369999377287,0.0050013991496807,1.7397714480169455,0.0333063093335326,2.6632851356180733,0.0873279770764161
TW,G,fixed,0.01,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,67,30,67.0,0.0,True,0.3442997968641987,0.0070985914908168,-0.1859325195716338,0.0031666177532238,1.766644576947962,0.0301125158605098,2.7058556316658136,0.0619976877381404
TW,G,fixed,0.03,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,200,30,200.0,16.766666666666666,True,0.3262764223833805,0.0035716435332378,-0.188933874064495,0.0023471635778853,1.6694081908711191,0.0154584173052214,2.757770735084384,0.0626368957597474
TW,G,fixed,0.03,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,200,30,200.0,0.0,True,0.3270707649337396,0.0037652151098295,-0.1856744769052795,0.0023221599218057,1.6870153740154343,0.0173976743710451,2.857385124226067,0.0452535079756566
TW,G,fixed,0.05,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,334,30,334.0,58.03333333333333,True,0.3179765976982327,0.0040945712889777,-0.1889875329273629,0.0017789977525874,1.630974984969122,0.0143777989201653,2.717470005473232,0.0490117895240646
TW,G,fixed,0.05,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,334,30,334.0,0.0,True,0.3132079090942367,0.0035840054095213,-0.1849608856292378,0.0018461951818907,1.634890187394476,0.0137441707992675,2.9717472545027683,0.037621924261215
TW,G,fixed,0.1,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,668,30,668.0,209.13333333333333,False,0.30984512261425,0.0021731054853726,-0.1902262552035772,0.0011370104112683,1.5902503269600197,0.0072043700265959,,
TW,G,fixed,0.1,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,668,30,668.0,172.43333333333334,False,0.3120834166346849,0.0021282519259276,-0.190016784233357,0.0011102045941539,1.611515018433913,0.0101724088923935,,
TW,G,silhouette_is,legacy,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,30,30,30.0,0.0,True,0.3442911956398253,0.01245619485426,-0.1853406020315587,0.0060443478614618,1.756656438710877,0.0547630006029405,2.3368543393464214,0.0999867671384529
TW,G,silhouette_is,legacy,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,30,30,30.0,0.0,True,0.3462894524028412,0.0105285738371984,-0.1837925932933703,0.0041617008866595,1.7779987967771078,0.0427621486622093,2.4237864234682127,0.0868236187849366
TW,G,silhouette_is,0.01,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,67,30,67.0,0.0333333333333333,True,0.3375646475948934,0.0074662199015839,-0.1881366273510272,0.0032660441862105,1.720084901135648,0.030318586781941,2.632007846474585,0.0820792282033991
TW,G,silhouette_is,0.01,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,67,30,67.0,0.0,True,0.3424511536145019,0.0074025388411295,-0.1858623692622144,0.0036236992516545,1.7599306090038334,0.0291634434572925,2.6737256555336577,0.0678356466575524
TW,G,silhouette_is,0.03,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,200,30,200.0,17.0,True,0.3252858607720839,0.0041057768434258,-0.1884931972266144,0.001939956924875,1.666493184618399,0.0169827789286157,2.7676176552096976,0.0664548445932841
TW,G,silhouette_is,0.03,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,200,30,200.0,0.0,True,0.3281624581978454,0.0040224522217965,-0.1857695250850674,0.0020122541905362,1.6886736894495633,0.0147272867832894,2.859759487679344,0.0513227069992609
TW,G,silhouette_is,0.05,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,334,30,334.0,59.9,True,0.3189032940288184,0.003333085247207,-0.1893048767085982,0.0018632842333095,1.6327250938502145,0.0144514447552237,2.7114281953131583,0.0450040619714219
TW,G,silhouette_is,0.05,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,334,30,334.0,0.0,True,0.3144352833423189,0.0038026456350411,-0.1837886129642756,0.0018543005057504,1.6420053379918305,0.0175473755466822,2.967027597813614,0.0357291447765578
TW,G,silhouette_is,0.1,equal,2,2007-01,2018-12,2019-01,2020-12,24,6,668,30,668.0,206.8,False,0.3100755071392831,0.0030583311649248,-0.1900367791361747,0.0012181773496821,1.5921317925477032,0.0104959356010816,,
TW,G,silhouette_is,0.1,proportional,2,2007-01,2018-12,2019-01,2020-12,24,6,668,30,668.0,173.13333333333333,False,0.3117224393777542,0.0019795499707585,-0.1897828509914434,0.0012940473225646,1.6115534553285598,0.0089449382068718,,
TW,G,fixed,legacy,equal,3,2007-01,2020-12,2021-01,2022-12,24,6,30,30,30.0,0.0,True,0.2013564650330253,0.0105138556339004,-0.1351039680285226,0.0023491941174816,0.950776318688268,0.0347004889225539,1.7400167248012088,0.0519709849318985
TW,G,fixed,legacy,proportional,3,2007-01,2020-12,2021-01,2022-12,24,6,30,30,30.0,0.0,True,0.2106046537333045,0.0081399728937818,-0.1388470629379949,0.0028380092425909,0.9697182392903152,0.0314612973928046,1.7823758350285657,0.041827894928255
TW,G,fixed,0.01,equal,3,2007-01,2020-12,2021-01,2022-12,24,6,67,30,67.0,0.0,True,0.1816814706354002,0.0060056186363659,-0.1379106219957008,0.0019685497989236,0.8793425357616961,0.0229026360554041,1.9397375968378128,0.0436604860399013
TW,G,fixed,0.01,proportional,3,2007-01,2020-12,2021-01,2022-12,24,6,67,30,67.0,0.0,True,0.1889834809806979,0.0070700682223748,-0.1373581209756737,0.002140113298434,0.9086505638127076,0.0245279779679034,1.9271610392124725,0.0458644437029266
