high門檻,low門檻,same誤判為高互補,cross判為高互補,cross誤判為低互補,核心結論成立
0.6,0.67,5,25,3,False
0.6,0.68,5,25,3,False
0.6,0.69,5,25,3,False
0.6,0.7,5,25,3,False
0.6,0.71,5,25,3,False
0.6,0.72,5,25,3,False
0.6,0.73,5,25,3,False
0.6,0.74,5,25,3,False
0.6,0.75,5,25,3,False
0.6,0.76,5,25,3,False
0.6,0.77,5,25,3,False
0.6,0.78,5,25,3,False
0.6,0.79,5,25,3,False
0.6,0.8,5,25,3,False
0.6,0.81,5,25,3,False
0.6,0.82,5,25,3,False
0.6,0.83,5,25,3,False
0.6,0.84,5,25,3,False
0.6,0.85,5,25,3,False
0.6,0.86,5,25,3,False
0.6,0.87,5,25,3,False
0.6,0.88,5,25,3,False
0.6,0.89,5,25,3,False
0.6,0.9,5,25,3,False
