tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_members,n_backfilled,n_capped_clusters,r2_median,max_cluster_share,enb_computed,oos_cagr,oos_mdd,oos_sharpe,oos_enb
US,A,fixed,0.01,proportional,1,2002-01,2012-12,2013-01,2014-12,24,7,84,84,0,0,0.7999306778199065,0.2736842105263158,True,0.39721524750326975,-0.027585271691198288,2.9876135743726335,6.901381884003706
US,A,fixed,0.03,equal,1,2002-01,2012-12,2013-01,2014-12,24,7,251,251,32,0,0.7999306778199065,0.2736842105263158,True,0.3863801445831103,-0.03702557554971431,2.8505937363569713,6.993434905624305
US,A,fixed,0.03,proportional,1,2002-01,2012-12,2013-01,2014-12,24,7,251,251,9,0,0.7999306778199065,0.2736842105263158,True,0.3735536786065894,-0.036557710696676904,2.7724486609281334,6.896099828620576
US,A,fixed,0.05,equal,1,2002-01,2012-12,2013-01,2014-12,24,7,418,418,82,0,0.7999306778199065,0.2736842105263158,False,0.38582193553853505,-0.038810923183085766,2.8438710703431025,
US,A,fixed,0.05,proportional,1,2002-01,2012-12,2013-01,2014-12,24,7,418,418,49,0,0.7999306778199065,0.2736842105263158,False,0.3603132470505237,-0.037047637453020865,2.758114233881216,
US,A,fixed,0.1,equal,1,2002-01,2012-12,2013-01,2014-12,24,7,836,836,425,0,0.7999306778199065,0.2736842105263158,False,0.38626370724023307,-0.03722315603688986,2.8532306279531143,
US,A,fixed,0.1,proportional,1,2002-01,2012-12,2013-01,2014-12,24,7,836,836,400,0,0.7999306778199065,0.2736842105263158,False,0.36808502067600934,-0.03580329336507293,2.780321140344286,
US,A,silhouette_is,legacy,equal,1,2002-01,2012-12,2013-01,2014-12,24,5,25,25,0,0,0.7999306778199065,0.2736842105263158,True,0.42447371169812587,-0.02536345263048334,3.3942349853224494,6.3972013788991235
US,A,silhouette_is,legacy,proportional,1,2002-01,2012-12,2013-01,2014-12,24,5,25,25,0,0,0.7999306778199065,0.2736842105263158,True,0.4064735128240813,-0.022332688568410752,3.4231478999972778,6.586472180676554
US,A,silhouette_is,0.01,equal,1,2002-01,2012-12,2013-01,2014-12,24,5,84,84,9,0,0.7999306778199065,0.2736842105263158,True,0.39635173205396246,-0.03167618203396194,3.0052400987742742,6.798949773387936
US,A,silhouette_is,0.01,proportional,1,2002-01,2012-12,2013-01,2014-12,24,5,84,84,0,0,0.7999306778199065,0.2736842105263158,True,0.3985466881816293,-0.029139752003222053,3.034346937049596,6.9930192986293935
US,A,silhouette_is,0.03,equal,1,2002-01,2012-12,2013-01,2014-12,24,5,251,251,43,0,0.7999306778199065,0.2736842105263158,True,0.37791275802160595,-0.037404988116277016,2.81094117727137,6.820713374000845
US,A,silhouette_is,0.03,proportional,1,2002-01,2012-12,2013-01,2014-12,24,5,251,251,9,0,0.7999306778199065,0.2736842105263158,True,0.36690160516295944,-0.03777412604503949,2.7594660918770986,7.215891780693243
US,A,silhouette_is,0.05,equal,1,2002-01,2012-12,2013-01,2014-12,24,5,418,418,92,0,0.7999306778199065,0.2736842105263158,False,0.3690321113173576,-0.03851323739577395,2.786604998298507,
US,A,silhouette_is,0.05,proportional,1,2002-01,2012-12,2013-01,2014-12,24,5,418,418,51,0,0.7999306778199065,0.2736842105263158,False,0.3572333053484078,-0.037164804170993104,2.755983162601054,
US,A,silhouette_is,0.1,equal,1,2002-01,2012-12,2013-01,2014-12,24,5,836,836,424,0,0.7999306778199065,0.2736842105263158,False,0.3744562375925413,-0.03665254240625848,2.7887406245079953,
US,A,silhouette_is,0.1,proportional,1,2002-01,2012-12,2013-01,2014-12,24,5,836,836,423,0,0.7999306778199065,0.2736842105263158,False,0.3698500055020295,-0.03585988551983421,2.786834574314601,
US,A,fixed,legacy,equal,2,2002-01,2014-12,2015-01,2016-12,24,7,35,35,0,0,0.7942428139270727,0.25586124401913873,True,0.10304329677984381,-0.16801154827400067,0.718435661932383,4.576338237142485
US,A,fixed,legacy,proportional,2,2002-01,2014-12,2015-01,2016-12,24,7,35,35,0,0,0.7942428139270727,0.25586124401913873,True,0.08563909007047688,-0.1608794687645595,0.627183376020866,4.824538031911578
US,A,fixed,0.01,equal,2,2002-01,2014-12,2015-01,2016-12,24,7,84,84,5,0,0.7942428139270727,0.25586124401913873,True,0.09388726147893056,-0.1845034040177257,0.6623833834351818,5.10001407099263
US,A,fixed,0.01,proportional,2,2002-01,2014-12,2015-01,2016-12,24,7,84,84,0,0,0.7942428139270727,0.25586124401913873,True,0.10629722363861216,-0.1669871488156427,0.7535251180075411,4.993414916020772
US,A,fixed,0.03,equal,2,2002-01,2014-12,2015-01,2016-12,24,7,251,251,45,0,0.7942428139270727,0.25586124401913873,True,0.1108311219944027,-0.18253467344935892,0.7643858114588891,5.240690028762002
US,A,fixed,0.03,proportional,2,2002-01,2014-12,2015-01,2016-12,24,7,251,251,9,0,0.7942428139270727,0.25586124401913873,True,0.11161315068341149,-0.1664462966045489,0.7875455535210152,5.405627144821206
US,A,fixed,0.05,equal,2,2002-01,2014-12,2015-01,2016-12,24,7,418,418,116,0,0.7942428139270727,0.25586124401913873,False,0.10803394218652707,-0.18715962815578513,0.7365585809859914,
US,A,fixed,0.05,proportional,2,2002-01,2014-12,2015-01,2016-12,24,7,418,418,33,0,0.7942428139270727,0.25586124401913873,False,0.11172442395004034,-0.16803591386802863,0.7892137806081512,
US,A,fixed,0.1,equal,2,2002-01,2014-12,2015-01,2016-12,24,7,836,836,401,0,0.7942428139270727,0.25586124401913873,False,0.11217758186743332,-0.18984057431239798,0.7505825664313821,
US,A,fixed,0.1,proportional,2,2002-01,2014-12,2015-01,2016-12,24,7,836,836,380,0,0.7942428139270727,0.25586124401913873,False,0.10861290561882675,-0.17476454859692936,0.7529947060718509,
US,A,silhouette_is,legacy,equal,2,2002-01,2014-12,2015-01,2016-12,24,8,40,40,0,0,0.7942428139270727,0.25586124401913873,True,0.09365941480999695,-0.17486958393538254,0.6610210028428024,4.585622680774167
US,A,silhouette_is,legacy,proportional,2,2002-01,2014-12,2015-01,2016-12,24,8,40,40,0,0,0.7942428139270727,0.25586124401913873,True,0.08059714624223857,-0.16258649423939575,0.5991493506385448,4.83268725466287
